Date,amount_in_usd,euro_price,rolling_avg
2021-11-03,62927.542965413624,72857.50924535589,71096.72156056606
2021-11-04,61456.704150052756,71099.26103119603,71239.38463394636
2021-11-05,61016.50554379181,70284.91273589378,71575.5932897671
2021-11-08,67553.510527717,78220.2098400435,72712.26015203317
2021-11-09,66952.03855670716,77510.37503709988,73422.42632274602
2021-11-10,64916.88837726965,75030.93958644825,74059.2669035502
2021-11-11,64815.87967883819,74278.99811194856,74183.17222685514
2021-11-12,64148.801061873775,73437.5474556331,74266.0348283233
2021-11-15,63613.27713454951,72799.03435277847,74508.85958854936
2021-11-16,60101.086545380604,68322.91518478867,74228.57422410577
2021-11-17,60374.03497360173,68319.25797612772,72814.15252926067
2021-11-18,56922.44043653159,64578.508675245095,70966.7430489957
2021-11-19,58113.417541449664,65499.63291096791,69605.12780964137
2021-11-22,56287.30190661673,63480.81909028235,68062.53080654619
2021-11-23,57566.31613345491,64813.91533465688,66830.58336069244
2021-11-24,57167.940399318286,64062.39401147608,65582.49188336353
2021-11-25,58993.3076256517,66208.18914826891,65280.388163860705
2021-11-26,53771.63946029656,60713.55811462084,64193.85961221687
2021-11-29,57835.29033338085,65215.07337992024,64284.79742717045
2021-11-30,56980.61206570054,64747.069490255526,64177.28836706869
2021-12-01,57219.384525995934,64738.0116527118,64356.88730455861
2021-12-02,56520.89965437467,64089.04811809543,64253.33484504983
2021-12-03,53650.623544597256,60576.91904420476,63755.40984972536
2021-12-06,50513.5013442801,57014.588967288946,62442.03839529965
2021-12-07,50631.72168899536,56991.06593313318,61910.25379794427
2021-12-08,50514.81642085562,57076.69107392476,60747.627754230634
2021-12-09,47580.70580969434,53818.536341345265,59186.40873295773
2021-12-10,47177.6365366698,53183.349667787865,57535.74273511146
2021-12-13,46734.82802414623,52707.53904563211,55909.8128676167
2021-12-14,48371.07189171241,54702.845202337565,55070.659461635674
2021-12-15,48888.311283824754,55058.016167843445,54791.14906171488
2021-12-16,47644.42976206312,54009.725578274745,54365.243296735105
2021-12-17,46158.83776968673,52297.96319305507,53682.56788518229
2021-12-20,46919.455753861504,52892.302471328076,53550.24876089412
2021-12-21,48913.54969317812,55247.85437844469,53845.17800527367
2021-12-22,48607.97360153215,54931.87096709148,54162.93970833929
2021-12-23,50840.98385030687,57501.15273469707,54562.6979272478
2021-12-24,50841.174469837315,57536.957147514884,54916.832352915146
2021-12-27,50713.32173892958,57366.909551077144,55396.430063315485
2021-12-28,47549.767421230325,53878.64146499608,55622.241245021345
2021-12-29,46471.4215805147,52526.647812455776,55570.00486518245
2021-12-30,47127.70357741576,53414.53923464302,55308.102701782205
2021-12-31,46209.1139456154,52336.442454804004,54937.32720002685
